ds,y,RESP,MA_ATM,bar
2018-08-28,138850000.0,-73,47465403,73
2018-08-29,177150000.0,-73,47465403,73
2018-08-30,169050000.0,-75,48765825,75
2018-08-31,330300000.0,-125,81276375,125
2018-09-01,228800000.0,-79,51366669,79
2018-09-02,54500000.0,-28,18205908,28
2018-09-03,39800000.0,-17,11053587,17
2018-09-04,134400000.0,-64,41613504,64
2018-09-05,188500000.0,-74,48115614,74
2018-09-06,138000000.0,-56,36411816,56
2018-09-07,139350000.0,1915,46164981,71
2018-09-08,130150000.0,-53,34461183,53
2018-09-09,74850000.0,-44,28609284,44
2018-09-10,122450000.0,-56,36411816,56
2018-09-11,186700000.0,-89,57868779,89
2018-09-12,121650000.0,10850,47465403,73
2018-09-13,101750000.0,-51,33160761,51
2018-09-14,203700000.0,-82,53317302,82
2018-09-15,165400000.0,-76,49416036,76
2018-09-16,118000000.0,-40,26008440,40
2018-09-17,98410000.0,8879,37712238,58
2018-09-18,136350000.0,5889,44864559,69
2018-09-19,153050000.0,-63,40963293,63
2018-09-20,151400000.0,-69,44864559,69
2018-09-21,135300000.0,-55,35761605,55
2018-09-22,71050000.0,-39,25358229,39
2018-09-23,41700000.0,-24,15605064,24
2018-09-24,120050000.0,-64,41613504,64
2018-09-25,200800000.0,-77,50066247,77
2018-09-26,109800000.0,-57,37062027,57
2018-09-27,186696000.0,4887,50716458,78
2018-09-28,142670000.0,56504,63070467,97
2018-09-29,116850000.0,-56,36411816,56
2018-09-30,82300000.0,-42,27308862,42
2018-10-01,187300000.0,-87,56568357,87
2018-10-02,189500000.0,-69,44864559,69
2018-10-03,122010000.0,12850,38362449,59
2018-10-04,184500000.0,-76,49416036,76
2018-10-05,157100000.0,-74,48115614,74
2018-10-06,127550000.0,-64,41613504,64
2018-10-07,114000000.0,-50,32510550,50
2018-10-08,169450000.0,-81,52667091,81
2018-10-09,146650000.0,-64,41613504,64
2018-10-10,147800000.0,-67,43564137,67
2018-10-11,215850000.0,2895,54617724,84
2018-10-12,128800000.0,-63,40963293,63
2018-10-13,188000000.0,-80,52016880,80
2018-10-14,156350000.0,-60,39012660,60
2018-10-15,142500000.0,-70,45514770,70
2018-10-16,186590000.0,9848,53317302,82
2018-10-17,109150000.0,-64,41613504,64
2018-10-18,107350000.0,-56,36411816,56
2018-10-19,136750000.0,-68,44214348,68
2018-10-20,143350000.0,-70,45514770,70
2018-10-21,106656000.0,30717,42913926,66
2018-10-22,169440000.0,17801,47465403,73
2018-10-23,142700000.0,-59,38362449,59
2018-10-24,106600000.0,-55,35761605,55
2018-10-25,156550000.0,-73,47465403,73
2018-10-26,173700000.0,-90,58518990,90
2018-10-27,145650000.0,-70,45514770,70
2018-10-28,171450000.0,-73,47465403,73
2018-10-29,152050000.0,-75,48765825,75
2018-10-30,170150000.0,-89,57868779,89
2018-10-31,166970000.0,35659,57868779,89
2018-11-01,389800000.0,-145,94280595,145
2018-11-02,160450000.0,-72,46815192,72
2018-11-03,143000000.0,-61,39662871,61
2018-11-04,93100000.0,-49,31860339,49
2018-11-05,186550000.0,-88,57218568,88
2018-11-06,195100000.0,-84,54617724,84
2018-11-07,163100000.0,-71,46164981,71
2018-11-08,120550000.0,-59,38362449,59
2018-11-09,129500000.0,-73,47465403,73
2018-11-10,161250000.0,-67,43564137,67
2018-11-11,93100000.0,-42,27308862,42
2018-11-12,161800000.0,5887,46164981,71
2018-11-13,93920000.0,10877,29909706,46
2018-11-14,73150000.0,-38,24708018,38
2018-11-15,164400000.0,-67,43564137,67
2018-11-16,176750000.0,-85,55267935,85
2018-11-17,136000000.0,-67,43564137,67
2018-11-18,89700000.0,-50,32510550,50
2018-11-19,147150000.0,-76,49416036,76
2018-11-20,93350000.0,-57,37062027,57
2018-11-21,115300000.0,-71,46164981,71
2018-11-22,67100000.0,-37,24057807,37
2018-11-23,137850000.0,-70,45514770,70
